price,score,max_score,score_pct,bias,alignment,kj_h1,kj_h4,kj_d1,kj_w1,kj_mn,d_kj_h4,tk_h1,tk_h4,tk_d1,d_tk_h4,d_tk_d1,tkx_h1,tkx_h4,tkx_d1,kumo_h1,kumo_h4,kumo_d1,sl,tp,rr,d_sl_pips,d_tp_pips,is_forex,is_jpy,is_xau,is_index,is_dxy,day_of_week,month,outcome
0.67383,84,109,0.7777777777777778,1.0,7,0.672235,0.6700600000000001,0.663095,0.65903,0.0,37.6999999999994,0.6728700000000001,0.6702250000000001,0.66978,36.04999999999969,40.49999999999998,1.0,1.0,1.0,1.0,0.0,0.0,0.67224,0.67702,2.0,15.900000000000913,-31.899999999999153,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
1.3814899999999999,60,109,0.5555555555555556,1.0,5,1.3783349999999999,1.37474,1.38466,1.38578,0.0,67.49999999999812,1.3785949999999998,1.3780199999999998,1.3728850000000001,34.70000000000084,86.04999999999751,1.0,1.0,-1.0,1.0,0.0,0.0,1.37833,1.3878,2.0,31.599999999998296,-63.10000000000038,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
0.79571,60,109,0.5555555555555556,1.0,5,0.793265,0.7933049999999999,0.7973399999999999,0.8000050000000001,0.0,24.050000000001013,0.79416,0.7936749999999999,0.791445,20.350000000001202,42.650000000000745,1.0,1.0,-1.0,1.0,0.0,0.0,0.7933,0.80052,2.0,24.100000000000232,-48.09999999999981,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
183.101,60,109,0.5555555555555556,-1.0,5,183.32299999999998,183.61399999999998,182.5,177.3145,0.0,-51.29999999999768,183.192,183.22449999999998,183.7275,-12.349999999997863,-62.649999999999295,-1.0,-1.0,1.0,-1.0,0.0,0.0,183.323,182.657,2.0,-22.20000000000084,44.39999999999884,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
211.521,60,109,0.5555555555555556,1.0,5,211.72500000000002,211.1975,208.667,203.58100000000002,0.0,32.34999999999957,211.52100000000002,211.4225,211.0895,9.849999999997294,43.14999999999998,-1.0,1.0,1.0,1.0,0.0,0.0,211.1975,212.168,2.0,32.34999999999957,-64.70000000000198,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
4497.22,84,109,0.7777777777777778,1.0,7,4462.57,4385.965,4339.505,3908.88,0.0,1112.550000000001,4475.665,4446.775,4412.15,504.4500000000062,850.7000000000062,1.0,1.0,1.0,1.0,0.0,0.0,4462.57,4566.52,2.0,346.50000000000546,-693.0000000000018,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
49489.98,84,109,0.7777777777777778,1.0,7,49176.854999999996,48663.85,48356.854999999996,46469.955,0.0,8261300.000000047,49197.95,48914.955,48663.85,5750250.000000015,8261300.000000047,1.0,1.0,1.0,1.0,0.0,0.0,49176.855,50116.23,2.0,3131250.0,-6262500.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
25642.86,84,109,0.7777777777777778,1.0,7,25497.975,25363.0,25244.25,24442.55,0.0,2798600.0000000056,25530.025,25489.675000000003,25394.0,1531849.9999999767,2488600.0000000056,1.0,1.0,1.0,1.0,0.0,0.0,25497.975,25932.63,2.0,1448850.0000000205,-2897700.000000004,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
6945.72,84,109,0.7777777777777778,1.0,7,6918.65,6885.43,6832.75,6589.675,0.0,602899.9999999997,6922.55,6909.4,6885.43,363200.00000000617,602899.9999999997,1.0,1.0,1.0,1.0,0.0,0.0,6918.65,6999.86,2.0,270700.00000000617,-541399.9999999942,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
98.601,60,109,0.5555555555555556,1.0,5,98.3845,98.4625,98.77799999999999,98.3015,0.0,13.84999999999934,98.479,98.497,98.2895,10.39999999999992,31.149999999999523,1.0,1.0,-1.0,1.0,0.0,0.0,98.4625,98.60377,0.02,13.84999999999934,-0.2769999999998163,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
1.1676,72,109,0.6666666666666666,-1.0,6,1.16878,1.171195,1.169875,1.1655,0.0,-35.950000000000145,1.1686100000000001,1.1695250000000001,1.17336,-19.250000000001766,-57.59999999999987,-1.0,-1.0,1.0,-1.0,0.0,0.0,1.16878,1.16524,2.0,-11.799999999999589,23.599999999999177,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0
1.3458999999999999,0,109,0.0,0.0,0,1.34865,1.34845,1.33734,1.336795,0.0,-25.500000000000522,1.347915,1.3498,1.34845,-39.000000000002366,-25.500000000000522,-1.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,-1.0
156.748,72,109,0.6666666666666666,1.0,6,156.549,156.703,156.04649999999998,151.833,0.0,4.4999999999987494,156.578,156.541,156.4245,20.699999999999363,32.34999999999957,1.0,-1.0,1.0,1.0,0.0,0.0,156.703,156.838,2.0,4.4999999999987494,-9.000000000000341,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0
0.67203,0,109,0.0,0.0,0,0.67416,0.6712899999999999,0.664995,0.65903,0.0,7.400000000000739,0.673215,0.6738999999999999,0.6712899999999999,-18.69999999999927,7.400000000000739,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,-1.0
1.38598,60,109,0.5555555555555556,1.0,5,1.38259,1.3776899999999999,1.382845,1.38578,0.0,82.90000000000131,1.38259,1.38091,1.3752,50.69999999999908,107.80000000000013,0.0,1.0,-1.0,1.0,0.0,0.0,1.38285,1.39225,2.0,31.30000000000077,-62.699999999999974,0.0,0.0,0.0,0.0,0.0,2.0,1.0,-1.0
0.79773,72,109,0.6666666666666666,1.0,6,0.7961400000000001,0.793995,0.7973399999999999,0.8000050000000001,0.0,37.350000000000435,0.796505,0.79511,0.79201,26.200000000000667,57.200000000000585,1.0,1.0,-1.0,1.0,0.0,0.0,0.79734,0.79851,2.0,3.9000000000000146,-7.800000000000029,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
183.02,60,109,0.5555555555555556,-1.0,5,183.03699999999998,183.563,182.5,177.3145,0.0,-54.299999999997794,182.99,183.0425,183.567,-2.2499999999979536,-54.699999999999704,-1.0,-1.0,1.0,-1.0,0.0,0.0,183.037,182.986,2.0,-1.6999999999995907,3.4000000000020236,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0
210.969,0,109,0.0,0.0,0,211.338,211.2425,208.667,203.58100000000002,0.0,-27.350000000001273,211.1325,211.348,211.0895,-37.90000000000191,-12.049999999999272,-1.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,-1.0
4452.94,0,109,0.0,0.0,0,4461.9,4402.5,4356.610000000001,3908.88,0.0,504.399999999996,4445.83,4461.9,4412.15,-89.60000000000036,407.89999999999964,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,-1.0
48982.98,48,109,0.4444444444444444,1.0,4,49281.34,48720.6,48413.604999999996,46469.955,0.0,2623800.0000000466,49281.34,49233.604999999996,48720.6,-2506249.9999999274,2623800.0000000466,0.0,1.0,1.0,0.0,0.0,0.0,48720.6,49507.74,2.0,2623800.0000000466,-5247599.999999948,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0
25652.06,72,109,0.6666666666666666,1.0,6,25678.925,25444.949999999997,25244.25,24442.55,0.0,2071100.0000000421,25693.225,25602.324999999997,25444.949999999997,497350.0000000422,2071100.0000000421,1.0,1.0,1.0,1.0,0.0,0.0,25444.95,26066.28,2.0,2071100.0000000058,-4142199.9999999753,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0
6923.12,60,109,0.5555555555555556,1.0,5,6941.175,6893.93,6841.25,6589.675,0.0,291899.999999996,6941.175,6930.83,6893.93,-77100.00000000036,291899.999999996,0.0,1.0,1.0,1.0,0.0,0.0,6893.93,6981.5,2.0,291899.999999996,-583800.000000001,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0
98.726,72,109,0.6666666666666666,1.0,6,98.616,98.492,98.6455,98.3015,0.0,23.399999999999466,98.6185,98.536,98.2895,18.999999999999773,43.64999999999952,1.0,1.0,-1.0,1.0,0.0,0.0,98.6455,98.72761,0.02,8.050000000000068,-0.16099999999994452,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0
1.16599,72,109,0.6666666666666666,-1.0,6,1.1663350000000001,1.169855,1.16996,1.1655,0.0,-38.65000000000008,1.166035,1.167075,1.171975,-10.850000000000026,-59.84999999999907,-1.0,-1.0,1.0,-1.0,0.0,0.0,1.16634,1.1653,2.0,-3.4999999999985043,6.900000000000794,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
1.3443,0,109,0.0,0.0,0,1.3441450000000001,1.34907,1.33734,1.336795,0.0,-47.699999999999406,1.34314,1.3460299999999998,1.34845,-17.299999999997873,-41.499999999998764,-1.0,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,-1.0
156.845,84,109,0.7777777777777778,1.0,7,156.7615,156.703,156.04649999999998,151.833,0.0,14.19999999999959,156.86599999999999,156.7135,156.5195,13.14999999999884,32.55000000000052,1.0,1.0,1.0,1.0,0.0,0.0,156.7615,157.012,2.0,8.349999999998658,-16.70000000000016,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0
0.66998,60,109,0.5555555555555556,-1.0,5,0.670515,0.6714549999999999,0.664995,0.65903,0.0,-14.74999999999893,0.669125,0.6713899999999999,0.6712899999999999,-14.099999999999113,-13.099999999999223,-1.0,-1.0,1.0,-1.0,0.0,0.0,0.67051,0.66891,2.0,-5.3000000000003045,10.700000000000154,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
1.38614,0,109,0.0,0.0,0,1.38661,1.380445,1.382845,1.38578,0.0,56.95000000000006,1.386365,1.383915,1.376525,22.249999999999215,96.1499999999993,-1.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,-1.0
0.79878,72,109,0.6666666666666666,1.0,6,0.7981499999999999,0.79504,0.7973399999999999,0.8000050000000001,0.0,37.400000000000766,0.798635,0.79755,0.79315,12.300000000000644,56.30000000000024,1.0,1.0,-1.0,1.0,0.0,0.0,0.79815,0.80004,2.0,6.300000000000194,-12.599999999999278,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0
182.888,0,109,0.0,0.0,0,182.937,183.345,182.5,177.3145,0.0,-45.69999999999936,182.937,182.937,183.5285,-4.900000000000659,-64.0500000000003,0.0,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,-1.0
210.848,0,109,0.0,0.0,0,210.72500000000002,211.2195,208.70600000000002,203.58100000000002,0.0,-37.14999999999975,210.7745,210.8535,211.1975,-0.5499999999983629,-34.94999999999777,1.0,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,-1.0
4476.47,84,109,0.7777777777777778,1.0,7,4443.575,4405.04,4356.610000000001,3908.88,0.0,714.3000000000029,4448.389999999999,4443.575,4412.15,328.95000000000437,643.2000000000062,1.0,1.0,1.0,1.0,0.0,0.0,4443.575,4542.26,2.0,328.95000000000437,-657.8999999999996,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0
